Timestamp,Node ID,Suhu (C),Kelembapan (%RH),Tekanan (hPa),Kecepatan Angin (m/s),Arah Angin (derajat),Cahaya (lux),Radiasi (W/m2),PM2.5 (ug/m3),PM10 (ug/m3),Ion Negatif (pcs/cm3)
"30/7/2026, 00.39.25","E32_WS (Sector A)","28.27","67.44","101.07","0.52","342","50.12","2","0","0","1","138"
"30/7/2026, 00.39.30","E32_WS (Sector A)","28.27","67.43","101.07","0.48","348","50.12","2","0","0","1","138"
"30/7/2026, 00.39.35","E32_WS (Sector A)","28.27","67.37","101.07","0.48","352","50.12","2","0","0","1","138"
"30/7/2026, 00.39.40","E32_WS (Sector A)","28.27","67.34","101.07","0.36","345","50.12","2","0","0","1","138"
"30/7/2026, 00.39.45","E32_WS (Sector A)","28.27","67.31","101.07","0.39","339","50.12","2","0","0","1","138"
"30/7/2026, 00.39.50","E32_WS (Sector A)","28.27","67.3","101.07","0.38","340","50.12","2","0","0","1","138"
"30/7/2026, 00.39.55","E32_WS (Sector A)","28.27","67.31","101.07","0.28","345","50.12","2","0","0","1","138"
"30/7/2026, 00.40.00","E32_WS (Sector A)","28.27","67.28","101.07","0.36","344","50.12","2","0","0","1","138"
"30/7/2026, 00.40.05","E32_WS (Sector A)","28.27","67.31","101.07","0.36","3","50.12","2","0","0","1","138"
"30/7/2026, 00.40.10","E32_WS (Sector A)","28.27","67.33","101.07","0.31","2","50.12","2","0","0","1","138"
"30/7/2026, 00.40.15","E32_WS (Sector A)","28.27","67.36","101.07","0.27","343","50.12","2","0","0","1","138"
"30/7/2026, 00.40.20","E32_WS (Sector A)","28.27","67.38","101.07","0.27","350","50.12","2","0","0","1","138"
"30/7/2026, 00.40.25","E32_WS (Sector A)","28.27","67.41","101.07","0.28","349","50.12","2","0","0","1","138"
"30/7/2026, 00.40.30","E32_WS (Sector A)","28.26","67.44","101.07","0.27","343","50.12","2","0","0","1","138"
"30/7/2026, 00.40.35","E32_WS (Sector A)","28.26","67.45","101.07","0.29","349","50.12","2","0","0","1","138"
"30/7/2026, 00.40.40","E32_WS (Sector A)","28.26","67.46","101.07","0.35","348","50.12","2","0","0","1","138"
"30/7/2026, 00.40.45","E32_WS (Sector A)","28.27","67.44","101.07","0.36","348","50.12","2","0","0","1","138"
"30/7/2026, 00.40.50","E32_WS (Sector A)","28.26","67.44","101.07","0.36","340","50.12","2","0","0","1","138"
"30/7/2026, 00.40.55","E32_WS (Sector A)","28.27","67.43","101.07","0.43","338","50.12","2","0","0","1","138"
"30/7/2026, 00.41.00","E32_WS (Sector A)","28.27","67.45","101.07","0.4","336","50.12","2","0","0","1","138"
"30/7/2026, 00.41.05","E32_WS (Sector A)","28.26","67.44","101.07","0.41","334","50.12","2","0","0","1","138"
"30/7/2026, 00.41.10","E32_WS (Sector A)","28.26","67.48","101.07","0.42","332","50.12","2","0","0","1","138"
"30/7/2026, 00.41.15","E32_WS (Sector A)","28.27","67.51","101.07","0.43","332","50.12","2","0","0","1","138"
"30/7/2026, 00.41.20","E32_WS (Sector A)","28.27","67.56","101.07","0.46","327","50.12","2","0","0","1","138"
"30/7/2026, 00.41.25","E32_WS (Sector A)","28.26","67.59","101.07","0.48","329","50.12","2","0","0","1","138"
"30/7/2026, 00.41.30","E32_WS (Sector A)","28.26","67.6","101.07","0.52","332","50.12","2","0","0","1","138"
"30/7/2026, 00.41.35","E32_WS (Sector A)","28.26","67.6","101.07","0.49","328","50.12","2","0","0","1","138"
"30/7/2026, 00.41.40","E32_WS (Sector A)","28.26","67.63","101.07","0.49","332","50.12","2","0","0","1","138"
"30/7/2026, 00.41.45","E32_WS (Sector A)","28.26","67.62","101.07","0.46","342","50.12","2","0","0","1","138"
"30/7/2026, 00.41.50","E32_WS (Sector A)","28.26","67.58","101.07","0.48","341","50.12","2","0","0","1","138"
"30/7/2026, 00.41.55","E32_WS (Sector A)","28.26","67.56","101.07","0.5","337","50.12","2","0","0","1","138"
"30/7/2026, 00.42.00","E32_WS (Sector A)","28.26","67.56","101.07","0.49","342","50.12","2","0","0","1","138"
"30/7/2026, 00.42.05","E32_WS (Sector A)","28.26","67.54","101.07","0.49","342","50.12","2","0","0","1","138"
"30/7/2026, 00.42.10","E32_WS (Sector A)","28.26","67.51","101.07","0.47","341","50.12","2","0","0","1","138"
"30/7/2026, 00.42.15","E32_WS (Sector A)","28.26","67.48","101.07","0.46","338","50.12","2","0","0","1","138"
"30/7/2026, 00.42.20","E32_WS (Sector A)","28.26","67.47","101.07","0.41","339","50.12","2","0","0","1","138"
"30/7/2026, 00.42.25","E32_WS (Sector A)","28.26","67.45","101.07","0.43","345","50.12","2","0","0","1","138"
"30/7/2026, 00.42.30","E32_WS (Sector A)","28.26","67.45","101.07","0.45","339","50.12","2","0","0","1","138"
"30/7/2026, 00.42.35","E32_WS (Sector A)","28.26","67.45","101.07","0.46","343","50.12","2","0","0","1","138"
"30/7/2026, 00.42.40","E32_WS (Sector A)","28.26","67.45","101.07","0.46","331","50.12","2","0","0","1","138"
"30/7/2026, 00.42.45","E32_WS (Sector A)","28.26","67.53","101.07","0.45","323","50.12","2","0","0","1","138"
"30/7/2026, 00.42.50","E32_WS (Sector A)","28.25","67.6","101.07","0.53","330","50.12","2","0","0","1","138"
"30/7/2026, 00.42.55","E32_WS (Sector A)","28.25","67.65","101.07","0.51","330","50.12","2","0","0","1","138"
"30/7/2026, 00.43.00","E32_WS (Sector A)","28.25","67.64","101.07","0.53","335","50.12","2","0","0","1","138"
"30/7/2026, 00.43.05","E32_WS (Sector A)","28.25","67.64","101.07","0.5","325","50.12","2","0","0","1","138"
"30/7/2026, 00.43.10","E32_WS (Sector A)","28.25","67.68","101.07","0.46","330","50.12","2","0","0","1","138"
"30/7/2026, 00.43.15","E32_WS (Sector A)","28.25","67.7","101.07","0.47","331","50.12","2","0","0","1","138"
"30/7/2026, 00.43.20","E32_WS (Sector A)","28.25","67.71","101.07","0.41","338","50.12","2","0","0","1","138"
"30/7/2026, 00.43.25","E32_WS (Sector A)","28.25","67.69","101.07","0.44","337","50.12","2","0","0","1","138"
"30/7/2026, 00.43.30","E32_WS (Sector A)","28.25","67.66","101.07","0.41","337","50.12","2","0","0","1","138"
"30/7/2026, 00.43.35","E32_WS (Sector A)","28.25","67.65","101.07","0.43","337","50.12","2","0","0","1","138"
"30/7/2026, 00.43.40","E32_WS (Sector A)","28.25","67.62","101.07","0.4","340","50.12","2","0","0","1","138"
"30/7/2026, 00.43.45","E32_WS (Sector A)","28.25","67.58","101.07","0.39","348","50.12","2","0","0","1","138"
"30/7/2026, 00.43.50","E32_WS (Sector A)","28.25","67.56","101.07","0.41","350","50.12","2","0","0","1","138"
"30/7/2026, 00.43.55","E32_WS (Sector A)","28.25","67.47","101.07","0.44","347","50.12","2","0","0","1","138"
"30/7/2026, 00.44.00","E32_WS (Sector A)","28.25","67.46","101.07","0.46","343","50.12","2","0","0","1","138"
"30/7/2026, 00.44.05","E32_WS (Sector A)","28.25","67.45","101.07","0.47","341","50.12","2","0","0","1","138"
"30/7/2026, 00.44.10","E32_WS (Sector A)","28.25","67.42","101.07","0.45","337","50.12","2","0","0","1","138"
"30/7/2026, 00.44.15","E32_WS (Sector A)","28.25","67.42","101.07","0.43","342","50.12","2","0","0","1","138"
"30/7/2026, 00.44.20","E32_WS (Sector A)","28.25","67.39","101.07","0.48","343","50.12","2","0","0","1","138"
"30/7/2026, 00.44.25","E32_WS (Sector A)","28.25","67.4","101.07","0.49","344","50.12","2","0","0","1","138"
"30/7/2026, 00.44.30","E32_WS (Sector A)","28.25","67.41","101.06","0.51","335","50.12","2","0","0","1","138"
"30/7/2026, 00.44.35","E32_WS (Sector A)","28.25","67.45","101.07","0.45","341","50.12","2","0","0","1","138"
"30/7/2026, 00.44.40","E32_WS (Sector A)","28.25","67.42","101.07","0.4","340","50.12","2","0","0","1","138"
"30/7/2026, 00.44.45","E32_WS (Sector A)","28.25","67.41","101.07","0.46","342","50.12","2","0","0","1","138"
"30/7/2026, 00.44.50","E32_WS (Sector A)","28.25","67.42","101.07","0.44","327","50.12","2","0","0","1","138"
"30/7/2026, 00.44.55","E32_WS (Sector A)","28.25","67.52","101.07","0.45","337","50.12","2","0","0","1","138"
"30/7/2026, 00.45.00","E32_WS (Sector A)","28.25","67.54","101.07","0.45","339","50.12","2","0","0","1","138"
"30/7/2026, 00.45.05","E32_WS (Sector A)","28.25","67.56","101.07","0.49","322","50.12","2","0","0","1","138"
"30/7/2026, 00.45.10","E32_WS (Sector A)","28.25","67.6","101.07","0.46","324","50.12","2","0","0","1","138"
"30/7/2026, 00.45.15","E32_WS (Sector A)","28.25","67.63","101.07","0.46","338","50.12","2","0","0","1","138"
"30/7/2026, 00.45.20","E32_WS (Sector A)","28.25","67.62","101.07","0.45","340","50.12","2","0","0","1","138"
"30/7/2026, 00.45.25","E32_WS (Sector A)","28.25","67.59","101.06","0.42","335","50.12","2","0","0","1","138"
"30/7/2026, 00.45.30","E32_WS (Sector A)","28.25","67.58","101.07","0.42","335","50.12","2","0","0","1","138"
"30/7/2026, 00.45.35","E32_WS (Sector A)","28.25","67.57","101.07","0.43","343","50.12","2","0","0","1","138"
"30/7/2026, 00.45.40","E32_WS (Sector A)","28.25","67.57","101.07","0.42","337","50.12","2","0","0","1","138"
"30/7/2026, 00.45.45","E32_WS (Sector A)","28.25","67.55","101.06","0.46","338","50.12","2","0","0","1","138"
"30/7/2026, 00.45.50","E32_WS (Sector A)","28.25","67.58","101.07","0.47","328","50.12","2","0","0","1","138"
"30/7/2026, 00.45.55","E32_WS (Sector A)","28.25","67.63","101.06","0.45","337","50.12","2","0","0","1","138"
"30/7/2026, 00.46.00","E32_WS (Sector A)","28.25","67.63","101.06","0.45","334","50.12","2","0","0","1","138"
"30/7/2026, 00.46.05","E32_WS (Sector A)","28.25","67.62","101.06","0.45","331","50.12","2","0","0","1","138"
"30/7/2026, 00.46.10","E32_WS (Sector A)","28.25","67.63","101.06","0.44","333","50.12","2","0","0","1","138"
"30/7/2026, 00.46.15","E32_WS (Sector A)","28.25","67.64","101.07","0.45","330","50.12","2","0","0","1","138"
"30/7/2026, 00.46.20","E32_WS (Sector A)","28.24","67.64","101.07","0.49","331","50.12","2","0","0","1","138"
"30/7/2026, 00.46.25","E32_WS (Sector A)","28.25","67.68","101.06","0.47","331","50.12","2","0","0","1","138"
"30/7/2026, 00.46.30","E32_WS (Sector A)","28.24","67.69","101.06","0.42","329","50.12","2","0","0","1","138"
"30/7/2026, 00.46.35","E32_WS (Sector A)","28.24","67.68","101.06","0.4","338","50.12","2","0","0","1","138"
"30/7/2026, 00.46.40","E32_WS (Sector A)","28.24","67.63","101.06","0.37","341","50.12","2","0","0","1","138"
"30/7/2026, 00.46.45","E32_WS (Sector A)","28.24","67.58","101.07","0.4","319","50.12","2","0","0","1","138"
"30/7/2026, 00.46.50","E32_WS (Sector A)","28.24","67.6","101.06","0.47","323","50.12","2","0","0","1","138"
"30/7/2026, 00.46.55","E32_WS (Sector A)","28.24","67.62","101.06","0.56","324","50.12","2","0","0","1","138"
"30/7/2026, 00.47.00","E32_WS (Sector A)","28.24","67.65","101.06","0.6","331","50.12","2","0","0","1","138"
"30/7/2026, 00.47.05","E32_WS (Sector A)","28.24","67.67","101.07","0.56","336","50.12","2","0","0","1","138"
"30/7/2026, 00.47.10","E32_WS (Sector A)","28.24","67.69","101.07","0.46","329","50.12","2","0","0","1","138"
"30/7/2026, 00.47.15","E32_WS (Sector A)","28.24","67.7","101.06","0.47","325","50.12","2","0","0","1","138"
"30/7/2026, 00.47.20","E32_WS (Sector A)","28.24","67.72","101.06","0.48","343","50.12","2","0","0","1","138"
"30/7/2026, 00.47.25","E32_WS (Sector A)","28.24","67.7","101.06","0.46","354","50.12","2","0","0","1","138"
"30/7/2026, 00.47.30","E32_WS (Sector A)","28.24","67.63","101.07","0.52","327","50.12","2","0","0","1","138"
"30/7/2026, 00.47.35","E32_WS (Sector A)","28.23","67.67","101.06","0.5","329","50.12","2","0","0","1","138"
"30/7/2026, 00.47.40","E32_WS (Sector A)","28.23","67.68","101.06","0.53","330","50.12","2","0","0","1","138"
"30/7/2026, 00.47.45","E32_WS (Sector A)","28.23","67.7","101.06","0.42","327","50.12","2","0","0","1","138"
"30/7/2026, 00.47.50","E32_WS (Sector A)","28.23","67.69","101.06","0.42","341","50.12","2","0","0","1","138"
"30/7/2026, 00.47.55","E32_WS (Sector A)","28.23","67.66","101.06","0.44","337","50.12","2","0","0","1","138"
"30/7/2026, 00.48.00","E32_WS (Sector A)","28.23","67.64","101.06","0.54","323","50.12","2","0","0","1","138"
"30/7/2026, 00.48.05","E32_WS (Sector A)","28.23","67.69","101.06","0.55","323","50.12","2","0","0","1","138"
"30/7/2026, 00.48.10","E32_WS (Sector A)","28.23","67.71","101.06","0.34","340","50.12","2","0","0","1","138"
"30/7/2026, 00.48.15","E32_WS (Sector A)","28.23","67.69","101.06","0.37","340","50.12","2","0","0","1","138"
"30/7/2026, 00.48.20","E32_WS (Sector A)","28.23","67.63","101.06","0.42","336","50.12","2","0","0","1","138"
"30/7/2026, 00.48.25","E32_WS (Sector A)","28.23","67.62","101.06","0.45","327","50.12","2","0","0","1","138"
"30/7/2026, 00.48.30","E32_WS (Sector A)","28.22","67.65","101.06","0.54","338","50.12","2","0","0","1","138"
"30/7/2026, 00.48.35","E32_WS (Sector A)","28.22","67.64","101.06","0.51","341","50.12","2","0","0","1","138"
"30/7/2026, 00.48.40","E32_WS (Sector A)","28.23","67.63","101.06","0.47","345","50.12","2","0","0","1","138"
"30/7/2026, 00.48.45","E32_WS (Sector A)","28.23","67.57","101.06","0.44","352","50.12","2","0","0","1","138"
"30/7/2026, 00.48.50","E32_WS (Sector A)","28.22","67.54","101.06","0.45","349","50.12","2","0","0","1","138"
"30/7/2026, 00.48.55","E32_WS (Sector A)","28.23","67.49","101.06","0.43","347","50.12","2","0","0","1","138"
"30/7/2026, 00.49.00","E32_WS (Sector A)","28.23","67.45","101.06","0.61","341","50.12","2","0","0","1","138"
"30/7/2026, 00.49.05","E32_WS (Sector A)","28.23","67.45","101.06","0.49","328","50.12","2","0","0","1","138"
"30/7/2026, 00.49.10","E32_WS (Sector A)","28.23","67.57","101.06","0.64","330","50.12","2","0","0","1","138"
"30/7/2026, 00.49.15","E32_WS (Sector A)","28.22","67.61","101.06","0.41","299","50.12","2","0","0","1","138"
"30/7/2026, 00.49.20","E32_WS (Sector A)","28.22","67.65","101.06","0.36","299","50.12","2","0","0","1","138"
"30/7/2026, 00.49.25","E32_WS (Sector A)","28.21","67.71","101.06","0.36","324","50.12","2","0","0","1","138"
"30/7/2026, 00.49.30","E32_WS (Sector A)","28.21","67.72","101.06","0.47","332","50.12","2","0","0","1","138"
"30/7/2026, 00.49.35","E32_WS (Sector A)","28.21","67.73","101.06","0.54","335","50.12","2","0","0","1","138"
"30/7/2026, 00.49.40","E32_WS (Sector A)","28.21","67.72","101.06","0.45","332","50.12","2","0","0","1","138"
"30/7/2026, 00.49.45","E32_WS (Sector A)","28.21","67.72","101.06","0.32","329","50.12","2","0","0","1","138"
"30/7/2026, 00.49.50","E32_WS (Sector A)","28.21","67.73","101.06","0.5","323","50.12","2","0","0","1","138"
"30/7/2026, 00.49.55","E32_WS (Sector A)","28.21","67.75","101.06","0.47","331","50.12","2","0","0","1","138"
"30/7/2026, 00.50.00","E32_WS (Sector A)","28.21","67.77","101.06","0.52","335","50.12","2","0","0","1","138"
"30/7/2026, 00.50.05","E32_WS (Sector A)","28.21","67.73","101.06","0.5","342","50.12","2","0","0","1","138"
"30/7/2026, 00.50.10","E32_WS (Sector A)","28.21","67.68","101.06","0.56","345","50.12","2","0","0","1","138"
"30/7/2026, 00.50.15","E32_WS (Sector A)","28.21","67.65","101.06","0.56","342","50.12","2","0","0","1","138"
"30/7/2026, 00.50.20","E32_WS (Sector A)","28.21","67.59","101.06","0.59","344","50.12","2","0","0","1","138"
"30/7/2026, 00.50.25","E32_WS (Sector A)","28.21","67.55","101.06","0.57","333","50.12","2","0","0","1","138"
"30/7/2026, 00.50.30","E32_WS (Sector A)","28.21","67.58","101.06","0.53","332","50.12","2","0","0","1","138"
"30/7/2026, 00.50.35","E32_WS (Sector A)","28.21","67.64","101.06","0.53","347","50.12","2","0","0","1","138"
"30/7/2026, 00.50.40","E32_WS (Sector A)","28.21","67.62","101.06","0.58","344","50.12","2","0","0","1","138"
"30/7/2026, 00.50.45","E32_WS (Sector A)","28.21","67.56","101.06","0.51","346","50.12","2","0","0","1","138"
"30/7/2026, 00.50.50","E32_WS (Sector A)","28.22","67.53","101.06","0.51","337","50.12","2","0","0","1","138"
"30/7/2026, 00.50.55","E32_WS (Sector A)","28.22","67.59","101.06","0.53","330","50.12","2","0","0","1","138"
"30/7/2026, 00.51.00","E32_WS (Sector A)","28.22","67.67","101.06","0.47","341","50.12","2","0","0","1","138"
"30/7/2026, 00.51.05","E32_WS (Sector A)","28.21","67.64","101.06","0.36","352","50.12","2","0","0","1","138"
"30/7/2026, 00.51.10","E32_WS (Sector A)","28.22","67.6","101.06","0.48","342","50.12","2","0","0","1","138"
"30/7/2026, 00.51.15","E32_WS (Sector A)","28.22","67.6","101.06","0.5","333","50.12","2","0","0","1","138"
"30/7/2026, 00.51.20","E32_WS (Sector A)","28.21","67.65","101.06","0.5","329","50.12","2","0","0","1","138"
"30/7/2026, 00.51.25","E32_WS (Sector A)","28.21","67.71","101.06","0.5","335","50.12","2","0","0","1","138"
"30/7/2026, 00.51.30","E32_WS (Sector A)","28.21","67.72","101.06","0.5","342","50.12","2","0","0","1","138"
"30/7/2026, 00.51.35","E32_WS (Sector A)","28.21","67.7","101.06","0.46","349","50.12","2","0","0","1","138"
"30/7/2026, 00.51.40","E32_WS (Sector A)","28.21","67.62","101.06","0.48","345","50.12","2","0","0","1","138"
"30/7/2026, 00.51.45","E32_WS (Sector A)","28.21","67.66","101.06","0.39","317","50.12","2","0","0","1","138"
"30/7/2026, 00.51.50","E32_WS (Sector A)","28.21","67.75","101.06","0.41","318","50.12","2","0","0","1","138"
"30/7/2026, 00.51.55","E32_WS (Sector A)","28.21","67.8","101.06","0.4","326","50.12","2","0","0","1","138"
"30/7/2026, 00.52.00","E32_WS (Sector A)","28.21","67.83","101.06","0.41","327","50.12","2","0","0","1","138"
"30/7/2026, 00.52.05","E32_WS (Sector A)","28.21","67.83","101.06","0.51","330","50.12","2","0","0","1","138"
"30/7/2026, 00.52.10","E32_WS (Sector A)","28.21","67.83","101.06","0.44","330","50.12","2","0","0","1","138"
"30/7/2026, 00.52.15","E32_WS (Sector A)","28.2","67.83","101.06","0.46","342","50.12","2","0","0","1","138"
"30/7/2026, 00.52.20","E32_WS (Sector A)","28.21","67.8","101.06","0.5","350","50.12","2","0","0","1","138"
"30/7/2026, 00.52.25","E32_WS (Sector A)","28.21","67.73","101.06","0.39","343","50.12","2","0","0","1","138"
"30/7/2026, 00.52.30","E32_WS (Sector A)","28.21","67.7","101.06","0.37","337","50.12","2","0","0","1","138"
"30/7/2026, 00.52.35","E32_WS (Sector A)","28.21","67.69","101.06","0.51","336","50.12","2","0","0","1","138"
"30/7/2026, 00.52.40","E32_WS (Sector A)","28.21","67.67","101.06","0.46","351","50.12","2","0","0","1","138"
"30/7/2026, 00.52.45","E32_WS (Sector A)","28.21","67.65","101.06","0.47","334","50.12","2","0","0","1","138"
"30/7/2026, 00.52.50","E32_WS (Sector A)","28.21","67.67","101.06","0.44","339","50.12","2","0","0","1","138"
"30/7/2026, 00.52.55","E32_WS (Sector A)","28.21","67.67","101.06","0.4","345","50.12","2","0","0","1","138"
"30/7/2026, 00.53.00","E32_WS (Sector A)","28.21","67.66","101.06","0.42","344","50.12","2","0","0","1","138"
"30/7/2026, 00.53.05","E32_WS (Sector A)","28.21","67.62","101.06","0.44","345","50.12","2","0","0","1","138"
"30/7/2026, 00.53.10","E32_WS (Sector A)","28.21","67.57","101.06","0.42","351","50.12","2","0","0","1","138"
"30/7/2026, 00.53.15","E32_WS (Sector A)","28.21","67.54","101.06","0.49","345","50.12","2","0","0","1","138"
"30/7/2026, 00.53.20","E32_WS (Sector A)","28.21","67.55","101.06","0.51","347","50.12","2","0","0","1","138"
"30/7/2026, 00.53.25","E32_WS (Sector A)","28.21","67.53","101.06","0.45","349","50.12","2","0","0","1","138"
"30/7/2026, 00.53.30","E32_WS (Sector A)","28.21","67.49","101.06","0.48","343","50.12","2","0","0","1","138"
"30/7/2026, 00.53.35","E32_WS (Sector A)","28.21","67.49","101.06","0.6","335","50.12","2","0","0","1","138"
"30/7/2026, 00.53.40","E32_WS (Sector A)","28.21","67.5","101.06","0.51","344","50.12","2","0","0","1","138"
"30/7/2026, 00.53.45","E32_WS (Sector A)","28.21","67.48","101.06","0.42","332","50.12","2","0","0","1","138"
"30/7/2026, 00.53.50","E32_WS (Sector A)","28.21","67.54","101.06","0.49","334","50.12","2","0","0","1","138"
"30/7/2026, 00.53.55","E32_WS (Sector A)","28.21","67.6","101.06","0.52","327","50.12","2","0","0","1","138"
"30/7/2026, 00.54.00","E32_WS (Sector A)","28.21","67.68","101.06","0.5","326","50.12","2","0","0","1","138"
"30/7/2026, 00.54.05","E32_WS (Sector A)","28.21","67.72","101.06","0.46","324","50.12","2","0","0","1","138"
"30/7/2026, 00.54.10","E32_WS (Sector A)","28.21","67.74","101.06","0.41","334","50.12","2","0","0","1","138"
"30/7/2026, 00.54.15","E32_WS (Sector A)","28.2","67.73","101.06","0.45","346","50.12","2","0","0","1","138"
"30/7/2026, 00.54.20","E32_WS (Sector A)","28.21","67.67","101.06","0.44","348","50.12","2","0","0","1","138"
"30/7/2026, 00.54.25","E32_WS (Sector A)","28.2","67.64","101.06","0.41","354","50.12","2","0","0","1","138"
"30/7/2026, 00.54.30","E32_WS (Sector A)","28.21","67.6","101.06","0.44","357","50.12","2","0","0","1","138"
"30/7/2026, 00.54.35","E32_WS (Sector A)","28.21","67.56","101.06","0.41","344","50.12","2","0","0","1","138"
"30/7/2026, 00.54.40","E32_WS (Sector A)","28.21","67.57","101.06","0.35","339","50.12","2","0","0","1","138"
"30/7/2026, 00.54.45","E32_WS (Sector A)","28.2","67.57","101.06","0.34","333","50.12","2","0","0","1","138"
"30/7/2026, 00.54.50","E32_WS (Sector A)","28.21","67.59","101.06","0.29","346","50.12","2","0","0","1","138"
"30/7/2026, 00.54.55","E32_WS (Sector A)","28.2","67.58","101.06","0.44","343","50.12","2","0","0","1","138"
"30/7/2026, 00.55.00","E32_WS (Sector A)","28.2","67.57","101.06","0.46","350","50.12","2","0","0","1","138"
"30/7/2026, 00.55.05","E32_WS (Sector A)","28.2","67.56","101.06","0.44","353","50.12","2","0","0","1","138"
"30/7/2026, 00.55.10","E32_WS (Sector A)","28.2","67.53","101.06","0.36","349","50.12","2","0","0","1","138"
"30/7/2026, 00.55.15","E32_WS (Sector A)","28.2","67.54","101.06","0.36","348","50.12","2","0","0","1","138"
"30/7/2026, 00.55.20","E32_WS (Sector A)","28.2","67.54","101.06","0.44","331","50.12","2","0","0","1","138"
"30/7/2026, 00.55.25","E32_WS (Sector A)","28.2","67.59","101.06","0.42","340","50.12","2","0","0","1","138"
"30/7/2026, 00.55.30","E32_WS (Sector A)","28.2","67.62","101.05","0.36","350","50.12","2","0","0","1","138"
"30/7/2026, 00.55.35","E32_WS (Sector A)","28.2","67.57","101.05","0.34","334","50.12","2","0","0","1","138"
"30/7/2026, 00.55.40","E32_WS (Sector A)","28.2","67.6","101.05","0.27","324","50.12","2","0","0","1","138"
"30/7/2026, 00.55.45","E32_WS (Sector A)","28.2","67.67","101.06","0.32","322","50.12","2","0","0","1","138"
"30/7/2026, 00.55.50","E32_WS (Sector A)","28.21","67.69","101.05","0.44","323","50.12","2","0","0","1","138"
"30/7/2026, 00.55.55","E32_WS (Sector A)","28.2","67.79","101.05","0.36","321","50.12","2","0","0","1","138"
"30/7/2026, 00.56.00","E32_WS (Sector A)","28.2","67.84","101.05","0.39","333","50.12","2","0","0","1","138"
"30/7/2026, 00.56.05","E32_WS (Sector A)","28.2","67.85","101.05","0.38","327","50.12","2","0","0","1","138"
"30/7/2026, 00.56.10","E32_WS (Sector A)","28.21","67.85","101.06","0.36","335","50.12","2","0","0","1","138"
"30/7/2026, 00.56.15","E32_WS (Sector A)","28.2","67.8","101.05","0.39","334","50.12","2","0","0","1","138"
"30/7/2026, 00.56.20","E32_WS (Sector A)","28.2","67.82","101.05","0.4","338","50.12","2","0","0","1","138"
"30/7/2026, 00.56.25","E32_WS (Sector A)","28.2","67.79","101.06","0.5","336","50.12","2","0","0","1","138"
"30/7/2026, 00.56.30","E32_WS (Sector A)","28.2","67.79","101.05","0.47","330","50.12","2","0","0","1","138"
"30/7/2026, 00.56.35","E32_WS (Sector A)","28.2","67.82","101.05","0.43","331","50.12","2","0","0","1","138"
"30/7/2026, 00.56.40","E32_WS (Sector A)","28.19","67.85","101.05","0.42","334","50.12","2","0","0","1","138"
"30/7/2026, 00.56.45","E32_WS (Sector A)","28.2","67.84","101.05","0.4","339","50.12","2","0","0","1","138"
"30/7/2026, 00.56.50","E32_WS (Sector A)","28.2","67.79","101.06","0.41","335","50.12","2","0","0","1","138"
"30/7/2026, 00.56.55","E32_WS (Sector A)","28.2","67.79","101.05","0.49","311","50.12","2","0","0","1","138"
"30/7/2026, 00.57.00","E32_WS (Sector A)","28.19","67.8","101.06","0.63","309","50.12","2","0","0","1","138"
"30/7/2026, 00.57.05","E32_WS (Sector A)","28.19","67.83","101.05","0.5","321","50.12","2","0","0","1","138"
"30/7/2026, 00.57.10","E32_WS (Sector A)","28.18","67.82","101.05","0.46","321","50.12","2","0","0","1","138"
"30/7/2026, 00.57.15","E32_WS (Sector A)","28.19","67.82","101.05","0.52","326","50.12","2","0","0","1","138"
"30/7/2026, 00.57.20","E32_WS (Sector A)","28.18","67.81","101.05","0.43","331","50.12","2","0","0","1","138"
"30/7/2026, 00.57.25","E32_WS (Sector A)","28.19","67.78","101.05","0.4","356","50.12","2","0","0","1","138"
"30/7/2026, 00.57.30","E32_WS (Sector A)","28.19","67.75","101.05","0.47","338","50.12","2","0","0","1","138"
"30/7/2026, 00.57.35","E32_WS (Sector A)","28.19","67.75","101.05","0.37","328","50.12","2","0","0","1","138"
"30/7/2026, 00.57.40","E32_WS (Sector A)","28.19","67.76","101.05","0.38","331","50.12","2","0","0","1","138"
"30/7/2026, 00.57.45","E32_WS (Sector A)","28.18","67.78","101.05","0.33","316","50.12","2","0","0","1","138"
"30/7/2026, 00.57.50","E32_WS (Sector A)","28.18","67.84","101.05","0.3","351","50.12","2","0","0","1","138"
"30/7/2026, 00.57.55","E32_WS (Sector A)","28.19","67.76","101.05","0.35","341","50.12","2","0","0","1","138"
"30/7/2026, 00.58.00","E32_WS (Sector A)","28.19","67.73","101.05","0.38","344","50.12","2","0","0","1","138"
"30/7/2026, 00.58.05","E32_WS (Sector A)","28.19","67.71","101.05","0.47","340","50.12","2","0","0","1","138"
"30/7/2026, 00.58.10","E32_WS (Sector A)","28.19","67.73","101.05","0.48","331","50.12","2","0","0","1","138"
"30/7/2026, 00.58.15","E32_WS (Sector A)","28.19","67.77","101.05","0.55","351","50.12","2","0","0","1","138"
"30/7/2026, 00.58.20","E32_WS (Sector A)","28.19","67.72","101.05","0.54","323","50.12","2","0","0","1","138"
"30/7/2026, 00.58.25","E32_WS (Sector A)","28.18","67.78","101.05","0.35","315","50.12","2","0","0","1","138"
"30/7/2026, 00.58.30","E32_WS (Sector A)","28.18","67.78","101.05","0.43","322","50.12","2","0","0","1","138"
"30/7/2026, 00.58.35","E32_WS (Sector A)","28.18","67.8","101.05","0.43","320","50.12","2","0","0","1","138"
