Timestamp,Node ID,Suhu (C),Kelembapan (%RH),Tekanan (hPa),Kecepatan Angin (m/s),Arah Angin (derajat),Cahaya (lux),Radiasi (W/m2),PM2.5 (ug/m3),PM10 (ug/m3),Ion Negatif (pcs/cm3)
"30/7/2026, 00.03.40","E32_WS (Sector A)","28.42","67.12","101.08","0.39","332","50.12","2","0","0","1","138"
"30/7/2026, 00.03.45","E32_WS (Sector A)","28.42","67.1","101.09","0.37","340","50.12","2","0","0","1","138"
"30/7/2026, 00.03.50","E32_WS (Sector A)","28.42","67.06","101.09","0.37","348","50.12","2","0","0","1","138"
"30/7/2026, 00.03.55","E32_WS (Sector A)","28.42","67.02","101.09","0.41","346","50.12","2","0","0","1","138"
"30/7/2026, 00.04.00","E32_WS (Sector A)","28.42","66.99","101.08","0.41","344","50.12","2","0","0","1","138"
"30/7/2026, 00.04.05","E32_WS (Sector A)","28.43","66.95","101.09","0.42","337","50.12","2","0","0","1","138"
"30/7/2026, 00.04.10","E32_WS (Sector A)","28.43","66.99","101.09","0.44","336","50.12","2","0","0","1","138"
"30/7/2026, 00.04.15","E32_WS (Sector A)","28.43","66.99","101.09","0.55","345","50.12","2","0","0","1","138"
"30/7/2026, 00.04.20","E32_WS (Sector A)","28.42","66.94","101.09","0.44","345","50.12","2","0","0","1","138"
"30/7/2026, 00.04.25","E32_WS (Sector A)","28.43","66.92","101.09","0.4","344","50.12","2","0","0","1","138"
"30/7/2026, 00.04.30","E32_WS (Sector A)","28.43","66.92","101.09","0.4","347","50.12","2","0","0","1","138"
"30/7/2026, 00.04.35","E32_WS (Sector A)","28.43","66.89","101.09","0.36","343","50.12","2","0","0","1","138"
"30/7/2026, 00.04.40","E32_WS (Sector A)","28.43","66.86","101.09","0.39","335","50.12","2","0","0","1","138"
"30/7/2026, 00.04.45","E32_WS (Sector A)","28.42","66.93","101.09","0.43","317","50.12","2","0","0","1","138"
"30/7/2026, 00.04.50","E32_WS (Sector A)","28.43","67.06","101.09","0.4","329","50.12","2","0","0","1","138"
"30/7/2026, 00.04.55","E32_WS (Sector A)","28.43","67.09","101.09","0.41","335","50.12","2","0","0","1","138"
"30/7/2026, 00.05.00","E32_WS (Sector A)","28.43","67.1","101.09","0.44","332","50.12","2","0","0","1","138"
"30/7/2026, 00.05.05","E32_WS (Sector A)","28.42","67.09","101.09","0.47","332","50.12","2","0","0","1","138"
"30/7/2026, 00.05.10","E32_WS (Sector A)","28.43","67.12","101.09","0.54","337","50.12","2","0","0","1","138"
"30/7/2026, 00.05.15","E32_WS (Sector A)","28.43","67.09","101.09","0.47","353","50.12","2","0","0","1","138"
"30/7/2026, 00.05.20","E32_WS (Sector A)","28.43","67.09","101.09","0.46","336","50.12","2","0","0","1","138"
"30/7/2026, 00.05.25","E32_WS (Sector A)","28.42","67.08","101.09","0.45","341","50.12","2","0","0","1","138"
"30/7/2026, 00.05.30","E32_WS (Sector A)","28.42","67.08","101.09","0.49","343","50.12","2","0","0","1","138"
"30/7/2026, 00.05.35","E32_WS (Sector A)","28.43","67.07","101.09","0.54","344","50.12","2","0","0","1","138"
"30/7/2026, 00.05.40","E32_WS (Sector A)","28.42","67.02","101.09","0.43","350","50.12","2","0","0","1","138"
"30/7/2026, 00.05.45","E32_WS (Sector A)","28.43","66.98","101.09","0.45","356","50.12","2","0","0","1","138"
"30/7/2026, 00.05.50","E32_WS (Sector A)","28.43","66.97","101.09","0.51","345","50.12","2","0","0","1","138"
"30/7/2026, 00.05.55","E32_WS (Sector A)","28.43","66.98","101.09","0.41","332","50.12","2","0","0","1","138"
"30/7/2026, 00.06.00","E32_WS (Sector A)","28.43","67.04","101.09","0.39","328","50.12","2","0","0","1","138"
"30/7/2026, 00.06.05","E32_WS (Sector A)","28.43","67.09","101.09","0.4","326","50.12","2","0","0","1","138"
"30/7/2026, 00.06.10","E32_WS (Sector A)","28.43","67.14","101.09","0.39","335","50.12","2","0","0","1","138"
"30/7/2026, 00.06.15","E32_WS (Sector A)","28.42","67.14","101.09","0.42","329","50.12","2","0","0","1","138"
"30/7/2026, 00.06.20","E32_WS (Sector A)","28.43","67.15","101.09","0.39","337","50.12","2","0","0","1","138"
"30/7/2026, 00.06.25","E32_WS (Sector A)","28.42","67.14","101.09","0.44","333","50.12","2","0","0","1","138"
"30/7/2026, 00.06.30","E32_WS (Sector A)","28.43","67.12","101.09","0.44","339","50.12","2","0","0","1","138"
"30/7/2026, 00.06.35","E32_WS (Sector A)","28.43","67.08","101.09","0.41","338","50.12","2","0","0","1","138"
"30/7/2026, 00.06.40","E32_WS (Sector A)","28.42","67.04","101.09","0.42","347","50.12","2","0","0","1","138"
"30/7/2026, 00.06.45","E32_WS (Sector A)","28.42","67.01","101.09","0.4","336","50.12","2","0","0","1","138"
"30/7/2026, 00.06.50","E32_WS (Sector A)","28.42","67","101.09","0.38","332","50.12","2","0","0","1","138"
"30/7/2026, 00.06.55","E32_WS (Sector A)","28.43","67.03","101.09","0.43","331","50.12","2","0","0","1","138"
"30/7/2026, 00.07.00","E32_WS (Sector A)","28.43","67.09","101.09","0.44","329","50.12","2","0","0","1","138"
"30/7/2026, 00.07.05","E32_WS (Sector A)","28.42","67.12","101.09","0.46","328","50.12","2","0","0","1","138"
"30/7/2026, 00.07.10","E32_WS (Sector A)","28.42","67.14","101.09","0.53","331","50.12","2","0","0","1","138"
"30/7/2026, 00.07.15","E32_WS (Sector A)","28.42","67.18","101.09","0.53","336","50.12","2","0","0","1","138"
"30/7/2026, 00.07.20","E32_WS (Sector A)","28.42","67.16","101.09","0.55","339","50.12","2","0","0","1","138"
"30/7/2026, 00.07.25","E32_WS (Sector A)","28.42","67.14","101.09","0.51","346","50.12","2","0","0","1","138"
"30/7/2026, 00.07.30","E32_WS (Sector A)","28.42","67.09","101.09","0.43","345","50.12","2","0","0","1","138"
"30/7/2026, 00.07.35","E32_WS (Sector A)","28.42","67.09","101.09","0.49","335","50.12","2","0","0","1","138"
"30/7/2026, 00.07.40","E32_WS (Sector A)","28.42","67.13","101.09","0.51","326","50.12","2","0","0","1","138"
"30/7/2026, 00.07.45","E32_WS (Sector A)","28.41","67.19","101.09","0.44","322","50.12","2","0","0","1","138"
"30/7/2026, 00.07.50","E32_WS (Sector A)","28.42","67.2","101.09","0.41","347","50.12","2","0","0","1","138"
"30/7/2026, 00.07.55","E32_WS (Sector A)","28.42","67.18","101.09","0.39","330","50.12","2","0","0","1","138"
"30/7/2026, 00.08.00","E32_WS (Sector A)","28.42","67.18","101.09","0.37","350","50.12","2","0","0","1","138"
"30/7/2026, 00.08.05","E32_WS (Sector A)","28.42","67.14","101.09","0.4","340","50.12","2","0","0","1","138"
"30/7/2026, 00.08.10","E32_WS (Sector A)","28.42","67.14","101.09","0.48","324","50.12","2","0","0","1","138"
"30/7/2026, 00.08.15","E32_WS (Sector A)","28.41","67.18","101.09","0.51","325","50.12","2","0","0","1","138"
"30/7/2026, 00.08.20","E32_WS (Sector A)","28.41","67.18","101.09","0.43","331","50.12","2","0","0","1","138"
"30/7/2026, 00.08.25","E32_WS (Sector A)","28.41","67.19","101.09","0.44","333","50.12","2","0","0","1","138"
"30/7/2026, 00.08.30","E32_WS (Sector A)","28.41","67.19","101.09","0.45","343","50.12","2","0","0","1","138"
"30/7/2026, 00.08.35","E32_WS (Sector A)","28.41","67.18","101.09","0.48","342","50.12","2","0","0","1","138"
"30/7/2026, 00.08.40","E32_WS (Sector A)","28.41","67.15","101.09","0.5","341","50.12","2","0","0","1","138"
"30/7/2026, 00.08.45","E32_WS (Sector A)","28.41","67.18","101.09","0.49","329","50.12","2","0","0","1","138"
"30/7/2026, 00.08.50","E32_WS (Sector A)","28.41","67.21","101.09","0.51","330","50.12","2","0","0","1","138"
"30/7/2026, 00.08.55","E32_WS (Sector A)","28.41","67.23","101.09","0.46","335","50.12","2","0","0","1","138"
"30/7/2026, 00.09.00","E32_WS (Sector A)","28.41","67.22","101.09","0.5","346","50.12","2","0","0","1","138"
"30/7/2026, 00.09.05","E32_WS (Sector A)","28.4","67.19","101.09","0.48","345","50.12","2","0","0","1","138"
"30/7/2026, 00.09.10","E32_WS (Sector A)","28.4","67.19","101.09","0.56","336","50.12","2","0","0","1","138"
"30/7/2026, 00.09.15","E32_WS (Sector A)","28.41","67.18","101.09","0.53","340","50.12","2","0","0","1","138"
"30/7/2026, 00.09.20","E32_WS (Sector A)","28.4","67.15","101.09","0.54","331","50.12","2","0","0","1","138"
"30/7/2026, 00.09.25","E32_WS (Sector A)","28.41","67.2","101.09","0.56","333","50.12","2","0","0","1","138"
"30/7/2026, 00.09.30","E32_WS (Sector A)","28.4","67.22","101.09","0.46","333","50.12","2","0","0","1","138"
"30/7/2026, 00.09.35","E32_WS (Sector A)","28.41","67.21","101.09","0.35","340","50.12","2","0","0","1","138"
"30/7/2026, 00.09.40","E32_WS (Sector A)","28.4","67.13","101.09","0.35","355","50.12","2","0","0","1","138"
"30/7/2026, 00.09.45","E32_WS (Sector A)","28.41","67.07","101.09","0.4","355","50.12","2","0","0","1","138"
"30/7/2026, 00.09.50","E32_WS (Sector A)","28.41","67.02","101.09","0.36","350","50.12","2","0","0","1","138"
"30/7/2026, 00.09.55","E32_WS (Sector A)","28.41","67","101.09","0.33","355","50.12","2","0","0","1","138"
"30/7/2026, 00.10.00","E32_WS (Sector A)","28.4","67","101.09","0.33","345","50.12","2","0","0","1","138"
"30/7/2026, 00.10.05","E32_WS (Sector A)","28.41","67.03","101.09","0.41","341","50.12","2","0","0","1","138"
"30/7/2026, 00.10.10","E32_WS (Sector A)","28.41","67.02","101.09","0.4","338","50.12","2","0","0","1","138"
"30/7/2026, 00.10.15","E32_WS (Sector A)","28.4","67.01","101.09","0.44","334","50.12","2","0","0","1","138"
"30/7/2026, 00.10.20","E32_WS (Sector A)","28.41","67.04","101.09","0.39","340","50.12","2","0","0","1","138"
"30/7/2026, 00.10.25","E32_WS (Sector A)","28.41","67.04","101.09","0.44","328","50.12","2","0","0","1","138"
"30/7/2026, 00.10.30","E32_WS (Sector A)","28.41","67.14","101.09","0.43","328","50.12","2","0","0","1","138"
"30/7/2026, 00.10.35","E32_WS (Sector A)","28.4","67.19","101.09","0.42","327","50.12","2","0","0","1","138"
"30/7/2026, 00.10.40","E32_WS (Sector A)","28.4","67.22","101.09","0.43","328","50.12","2","0","0","1","138"
"30/7/2026, 00.10.45","E32_WS (Sector A)","28.4","67.24","101.09","0.44","325","50.12","2","0","0","1","138"
"30/7/2026, 00.10.50","E32_WS (Sector A)","28.4","67.25","101.09","0.46","331","50.12","2","0","0","1","138"
"30/7/2026, 00.10.55","E32_WS (Sector A)","28.4","67.25","101.09","0.4","340","50.12","2","0","0","1","138"
"30/7/2026, 00.11.00","E32_WS (Sector A)","28.4","67.21","101.09","0.36","338","50.12","2","0","0","1","138"
"30/7/2026, 00.11.05","E32_WS (Sector A)","28.4","67.17","101.09","0.33","333","50.12","2","0","0","1","138"
"30/7/2026, 00.11.10","E32_WS (Sector A)","28.4","67.17","101.09","0.39","329","50.12","2","0","0","1","138"
"30/7/2026, 00.11.15","E32_WS (Sector A)","28.4","67.16","101.09","0.45","4","50.12","2","0","0","1","138"
"30/7/2026, 00.11.20","E32_WS (Sector A)","28.4","67.12","101.09","0.53","347","50.12","2","0","0","1","138"
"30/7/2026, 00.11.25","E32_WS (Sector A)","28.4","67.08","101.08","0.38","347","50.12","2","0","0","1","138"
"30/7/2026, 00.11.30","E32_WS (Sector A)","28.4","67.05","101.08","0.37","342","50.12","2","0","0","1","138"
"30/7/2026, 00.11.35","E32_WS (Sector A)","28.4","67.03","101.08","0.42","338","50.12","2","0","0","1","138"
"30/7/2026, 00.11.40","E32_WS (Sector A)","28.4","67.01","101.08","0.45","346","50.12","2","0","0","1","138"
"30/7/2026, 00.11.45","E32_WS (Sector A)","28.4","66.99","101.08","0.45","351","50.12","2","0","0","1","138"
"30/7/2026, 00.11.50","E32_WS (Sector A)","28.4","66.99","101.08","0.45","353","50.12","2","0","0","1","138"
"30/7/2026, 00.11.55","E32_WS (Sector A)","28.4","66.98","101.08","0.48","345","50.12","2","0","0","1","138"
"30/7/2026, 00.12.00","E32_WS (Sector A)","28.4","67.02","101.09","0.43","337","50.12","2","0","0","1","138"
"30/7/2026, 00.12.05","E32_WS (Sector A)","28.39","67.05","101.08","0.48","341","50.12","2","0","0","1","138"
"30/7/2026, 00.12.10","E32_WS (Sector A)","28.4","67.03","101.08","0.48","334","50.12","2","0","0","1","138"
"30/7/2026, 00.12.15","E32_WS (Sector A)","28.4","67.06","101.09","0.44","332","50.12","2","0","0","1","138"
"30/7/2026, 00.12.20","E32_WS (Sector A)","28.4","67.11","101.09","0.45","331","50.12","2","0","0","1","138"
"30/7/2026, 00.12.25","E32_WS (Sector A)","28.4","67.14","101.08","0.45","331","50.12","2","0","0","1","138"
"30/7/2026, 00.12.30","E32_WS (Sector A)","28.4","67.16","101.09","0.45","335","50.12","2","0","0","1","138"
"30/7/2026, 00.12.35","E32_WS (Sector A)","28.4","67.16","101.09","0.4","335","50.12","2","0","0","1","138"
"30/7/2026, 00.12.40","E32_WS (Sector A)","28.4","67.13","101.09","0.44","334","50.12","2","0","0","1","138"
"30/7/2026, 00.12.45","E32_WS (Sector A)","28.4","67.12","101.09","0.47","335","50.12","2","0","0","1","138"
"30/7/2026, 00.12.50","E32_WS (Sector A)","28.4","67.13","101.08","0.45","333","50.12","2","0","0","1","138"
"30/7/2026, 00.12.55","E32_WS (Sector A)","28.39","67.13","101.08","0.44","334","50.12","2","0","0","1","138"
"30/7/2026, 00.13.00","E32_WS (Sector A)","28.4","67.1","101.08","0.44","337","50.12","2","0","0","1","138"
"30/7/2026, 00.13.05","E32_WS (Sector A)","28.4","67.1","101.08","0.41","332","50.12","2","0","0","1","138"
"30/7/2026, 00.13.10","E32_WS (Sector A)","28.39","67.11","101.08","0.35","338","50.12","2","0","0","1","138"
"30/7/2026, 00.13.15","E32_WS (Sector A)","28.39","67.09","101.08","0.46","330","50.12","2","0","0","1","138"
"30/7/2026, 00.13.20","E32_WS (Sector A)","28.4","67.12","101.09","0.37","335","50.12","2","0","0","1","138"
"30/7/2026, 00.13.25","E32_WS (Sector A)","28.4","67.09","101.08","0.42","333","50.12","2","0","0","1","138"
"30/7/2026, 00.13.30","E32_WS (Sector A)","28.39","67.08","101.08","0.4","338","50.12","2","0","0","1","138"
"30/7/2026, 00.13.35","E32_WS (Sector A)","28.39","67.05","101.08","0.43","335","50.12","2","0","0","1","138"
"30/7/2026, 00.13.40","E32_WS (Sector A)","28.39","67.08","101.08","0.43","334","50.12","2","0","0","1","138"
"30/7/2026, 00.13.45","E32_WS (Sector A)","28.39","67.09","101.08","0.47","340","50.12","2","0","0","1","138"
"30/7/2026, 00.13.50","E32_WS (Sector A)","28.39","67.1","101.08","0.46","335","50.12","2","0","0","1","138"
"30/7/2026, 00.13.55","E32_WS (Sector A)","28.39","67.09","101.08","0.44","337","50.12","2","0","0","1","138"
"30/7/2026, 00.14.00","E32_WS (Sector A)","28.39","67.11","101.08","0.44","344","50.12","2","0","0","1","138"
"30/7/2026, 00.14.05","E32_WS (Sector A)","28.39","67.05","101.08","0.39","336","50.12","2","0","0","1","138"
"30/7/2026, 00.14.10","E32_WS (Sector A)","28.39","67.03","101.08","0.33","332","50.12","2","0","0","1","138"
"30/7/2026, 00.14.15","E32_WS (Sector A)","28.39","67","101.08","0.41","340","50.12","2","0","0","1","138"
"30/7/2026, 00.14.20","E32_WS (Sector A)","28.39","67.05","101.08","0.5","343","50.12","2","0","0","1","138"
"30/7/2026, 00.14.25","E32_WS (Sector A)","28.39","67.04","101.09","0.51","341","50.12","2","0","0","1","138"
"30/7/2026, 00.14.30","E32_WS (Sector A)","28.39","67.01","101.08","0.51","335","50.12","2","0","0","1","138"
"30/7/2026, 00.14.35","E32_WS (Sector A)","28.38","67.03","101.09","0.52","335","50.12","2","0","0","1","138"
"30/7/2026, 00.14.40","E32_WS (Sector A)","28.39","67.07","101.08","0.51","334","50.12","2","0","0","1","138"
"30/7/2026, 00.14.45","E32_WS (Sector A)","28.39","67.1","101.09","0.53","338","50.12","2","0","0","1","138"
"30/7/2026, 00.14.50","E32_WS (Sector A)","28.38","67.09","101.08","0.5","332","50.12","2","0","0","1","138"
"30/7/2026, 00.14.55","E32_WS (Sector A)","28.39","67.14","101.09","0.51","333","50.12","2","0","0","1","138"
"30/7/2026, 00.15.00","E32_WS (Sector A)","28.39","67.14","101.08","0.47","338","50.12","2","0","0","1","138"
"30/7/2026, 00.15.05","E32_WS (Sector A)","28.39","67.15","101.08","0.48","328","50.12","2","0","0","1","138"
"30/7/2026, 00.15.10","E32_WS (Sector A)","28.39","67.17","101.08","0.49","340","50.12","2","0","0","1","138"
"30/7/2026, 00.15.15","E32_WS (Sector A)","28.39","67.17","101.08","0.53","331","50.12","2","0","0","1","138"
"30/7/2026, 00.15.20","E32_WS (Sector A)","28.38","67.21","101.08","0.47","323","50.12","2","0","0","1","138"
"30/7/2026, 00.15.25","E32_WS (Sector A)","28.38","67.25","101.08","0.46","327","50.12","2","0","0","1","138"
"30/7/2026, 00.15.30","E32_WS (Sector A)","28.38","67.26","101.08","0.44","332","50.12","2","0","0","1","138"
"30/7/2026, 00.15.35","E32_WS (Sector A)","28.38","67.23","101.08","0.43","330","50.12","2","0","0","1","138"
"30/7/2026, 00.15.40","E32_WS (Sector A)","28.38","67.22","101.08","0.42","336","50.12","2","0","0","1","138"
"30/7/2026, 00.15.45","E32_WS (Sector A)","28.38","67.21","101.08","0.43","336","50.12","2","0","0","1","138"
"30/7/2026, 00.15.50","E32_WS (Sector A)","28.38","67.17","101.08","0.46","335","50.12","2","0","0","1","138"
